date,type,animal,session,data,comment,reward,analyze
20230215,baseplating,m20,base0,m20/2023_02_15/11_08_53,,,False
20230215,baseplating,m21,base0,m21/2023_02_15/12_08_50,,,False
20230215,baseplating,m22,base0,m22/2023_02_15/11_42_59,,,False
20230215,baseplating,m23,base0,m23/2023_02_15/13_18_55,,,False
20230215,baseplating,m24,base0,m24/2023_02_15/12_34_03,,,False
20230215,baseplating,m25,base0,m25/2023_02_15/12_55_41,,,False
20230215,baseplating,m26,base0,m26/2023_02_15/13_42_43,,,False
20230215,baseplating,m27,base0,m27/2023_02_15/14_20_53,,,False
20230215,baseplating,m29,base0,m29/2023_02_15/14_47_21,,,False
20230215,baseplating,m30,base0,m30/2023_02_15/15_08_01,,,False
20230215,baseplating,m32,base0,m32/2023_02_15/15_46_54,,,False
20230215,baseplating,m33,base0,m33/2023_02_15/16_08_39,,,False
20230220,habituation,m20,hab0,m20/2023_02_20/11_52_26,,3,
20230220,habituation,m21,hab0,m21/2023_02_20/12_19_31,,5,
20230220,habituation,m22,hab0,m22/2023_02_20/12_42_32,,3,
20230220,habituation,m23,hab0,m23/2023_02_20/13_07_00,,4,
20230220,habituation,m24,hab0,m24/2023_02_20/13_33_06,,2,
20230220,habituation,m25,hab0,m25/2023_02_20/13_56_21,"baseplate cap was found off in homecage, found and put back on",2,
